genres,year,playtime_forever
"['Action', 'Indie', 'Racing']",1997,8111
['Action'],1998,2445709
['Strategy'],2006,27064
['Strategy'],2006,21027
"['Action', 'Indie', 'RPG']",2006,1026583
['Action'],2005,8173
"['Indie', 'Strategy']",2006,217916
"['Action', 'Indie', 'RPG']",2006,191660
"['Indie', 'Simulation']",2006,126510857
['Racing'],2006,7005
"['Casual', 'Indie']",2006,154
"['Casual', 'Indie']",2006,1329
['Strategy'],2003,42807
['Strategy'],2006,8197
"['Adventure', 'RPG']",2006,20179
['Racing'],2006,263587
['Racing'],2005,42547
"['Action', 'Adventure']",2007,43388
['Strategy'],2006,12256
['RPG'],2002,17444
"['Action', 'Adventure', 'RPG']",2000,51930
['Strategy'],2006,98982
['Strategy'],2003,13725
['Strategy'],2006,176189
['Strategy'],1998,750
['Strategy'],1995,29344
"['Action', 'Adventure']",2007,99718
['Action'],2006,66766
"['Action', 'Adventure']",2006,48107
['Action'],1996,13818
"['Action', 'Adventure']",2006,30219
['Action'],1995,77439
['Action'],1995,8075
['Action'],1994,66123
['Action'],1994,32471
['Action'],2001,102376
['Action'],1997,9254
['Action'],1993,3325
['Action'],2003,12167
['Action'],2007,8795
['Action'],2007,90896
['Strategy'],2007,4191
['Strategy'],2006,292746
"['Action', 'RPG']",2007,2679782
['Strategy'],2006,731285
['Strategy'],2006,1763040
['Strategy'],2004,2518621
['Strategy'],2006,90007
['Casual'],2007,31
['Action'],1998,14958
['Action'],1999,8451
['Action'],2004,8062
['Racing'],2003,30232
['Action'],2003,196327
"['Action', 'Adventure']",2006,69456
['Action'],2001,245526
['Strategy'],2008,1230778
['Casual'],2007,127713
"['RPG', 'Casual', 'Adventure']",2007,194
['Strategy'],2007,31289
"['Action', 'Adventure', 'Strategy']",2007,3628
['Racing'],2007,24543
['Action'],2008,4343
['Action'],2007,18714
['Simulation'],2006,1431
['Action'],2006,1820
"['Action', 'Adventure']",2007,14716
['Action'],2006,11466
"['Simulation', 'Strategy']",2006,878858
['Action'],2005,10225
['Action'],2003,24427
['Action'],1998,23987
"['Casual', 'Indie']",2008,2204
['Action'],2003,78629
['Action'],2004,278878
['Action'],2000,105153
['Action'],2006,22475
['Simulation'],2005,80318
"['Casual', 'Simulation']",2008,10963
['Casual'],2008,2273
['Casual'],2008,4180
['Casual'],2008,3044
['Casual'],2008,4797
['Casual'],2008,346
['Casual'],2005,790
['Casual'],2007,3882
['Simulation'],2007,815
['Casual'],2005,5557
"['Action', 'Adventure']",2007,3728
['Simulation'],2007,39161
['Simulation'],2006,170639
['Simulation'],2008,14365
['Adventure'],2005,1462
['Racing'],2005,533
['Adventure'],2006,624
['Racing'],2008,7472
['Simulation'],2007,998
['Casual'],2007,505
['Adventure'],2008,3605
"['Adventure', 'RPG']",2008,7558
"['Adventure', 'Indie']",2008,1552
"['Simulation', 'Strategy']",2007,14779
"['Action', 'Indie']",2008,8677
['Racing'],2008,160197
['Adventure'],1998,151894
['Adventure'],1997,259679
['Racing'],2008,968
['Strategy'],2001,7292
['Strategy'],1997,19970
['Strategy'],1993,160581
"['Action', 'RPG']",2008,500286
['Action'],2008,182439
['Action'],2007,904915
['Strategy'],1998,8789
"['Action', 'RPG']",2008,2423302
['Indie'],2008,46675
['Racing'],2008,30
"['Strategy', 'Simulation']",2008,17780
['Strategy'],2008,121523
['Action'],2003,51718
"['Action', 'Adventure']",2008,168127
"['Simulation', 'Strategy']",2008,5344
"['RPG', 'Strategy']",2008,14591
['Action'],2008,71912
"['Indie', 'Casual']",2008,708
['Racing'],2006,1292
['Strategy'],2006,20611
['Action'],2005,33006
['Strategy'],2007,142049
['Strategy'],2008,58535
['Action'],2002,17
['Casual'],2008,166899
['Indie'],2008,254631
"['Action', 'Simulation', 'Strategy']",2008,395962
['Action'],2008,17374
"['Casual', 'Indie']",2008,20695
"['Indie', 'Casual', 'Sports']",2008,692
"['Action', 'Adventure']",2008,1388866
['Action'],2008,1116183
"['Action', 'Indie', 'Strategy']",2008,16364
['Action'],2009,2932235
['Action'],2008,874965
['RPG'],2008,15072
"['Action', 'Adventure']",2009,2831074
"['Indie', 'Strategy']",2008,829568
['Action'],2009,520225
"['Strategy', 'Indie']",2008,12244
"['Indie', 'Strategy']",2007,628
"['Action', 'Indie']",2009,9438
['Strategy'],2005,53865
"['Action', 'Adventure', 'Strategy']",2009,5627
['Action'],2009,7717
